"","","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
"Egypt"," Male","6.4","6.0","5.7","5.3","5.2"
"Egypt"," Female","1.5","1.5","1.5","1.5","1.3"
"El Salvador"," Both sexes","13.7","14.0","10.8","9.9","13.4"
"El Salvador"," Male","24.2","24.5","18.1","15.8","20.9"
"El Salvador"," Female","4.5","4.6","4.2","4.6","6.4"
"Equatorial Guinea"," Both sexes","16.4","16.5","16.7","13.7","15.5"
"Equatorial Guinea"," Male","23.5","23.8","24.9","20.4","24.4"
"Equatorial Guinea"," Female","7.7","7.6","7.0","6.1","6.0"
"Eritrea"," Both sexes","7.9","8.1","9.0","10.4","11.6"
"Eritrea"," Male","12.3","12.5","13.8","15.4","16.5"
"Eritrea"," Female","3.6","3.7","4.1","5.5","6.7"
"Estonia"," Both sexes","17.8","15.8","18.3","22.5","29.5"
"Estonia"," Male","30.6","27.6","31.7","39.0","48.7"
"Estonia"," Female","6.6","5.3","6.6","8.3","12.7"
"Eswatini"," Both sexes","13.3","13.1","11.9","12.0","11.6"
"Eswatini"," Male","19.5","19.3","18.2","18.9","17.5"
"Eswatini"," Female","7.5","7.2","6.0","5.6","6.1"
"Ethiopia"," Both sexes","7.2","7.2","7.3","7.9","8.0"
"Ethiopia"," Male","11.2","11.2","11.3","12.1","12.2"
"Ethiopia"," Female","3.1","3.2","3.3","3.7","3.9"
"Fiji"," Both sexes","5.0","5.0","4.8","3.5","4.3"
"Fiji"," Male","7.5","7.5","7.2","4.5","5.6"
"Fiji"," Female","2.4","2.4","2.4","2.4","2.9"
"Finland"," Both sexes","15.9","14.4","18.9","20.4","24.6"
"Finland"," Male","23.9","21.8","28.4","29.6","36.8"
"Finland"," Female","8.1","7.2","9.8","11.5","12.9"
"France"," Both sexes","17.7","18.0","20.2","21.1","22.3"
"France"," Male","23.9","24.4","27.7","29.0","30.5"
"France"," Female","11.7","11.8","13.0","13.5","14.4"
"Gabon"," Both sexes","7.1","7.3","6.9","6.1","6.7"
"Gabon"," Male","10.7","11.1","10.5","9.2","10.0"
"Gabon"," Female","3.2","3.3","3.1","3.1","3.5"
"Gambia"," Both sexes","5.1","5.2","5.1","5.7","6.6"
"Gambia"," Male","6.6","6.7","6.7","7.1","8.1"
"Gambia"," Female","3.7","3.8","3.6","4.3","5.2"
"Georgia"," Both sexes","8.2","8.1","6.9","5.0","6.0"
"Georgia"," Male","14.2","14.0","11.8","8.2","10.2"
"Georgia"," Female","2.7","2.7","2.3","2.0","2.3"
"Germany"," Both sexes","13.6","13.8","13.7","13.6","14.7"
"Germany"," Male","19.7","19.9","20.6","20.4","22.1"
"Germany"," Female","7.7","7.8","7.0","7.2","7.7"
"Ghana"," Both sexes","5.4","5.3","4.7","4.3","4.0"
"Ghana"," Male","8.7","8.5","7.5","6.7","6.1"
"Ghana"," Female","2.1","2.1","2.1","1.9","1.9"
"Greece"," Both sexes","5.0","4.8","3.3","3.5","3.4"
